order_id,customer_id,product_id,order_date,amount,profit,quantity,category,subcategory
O38,C7515,P943,2024-01-30,1218.05,257.59,6,Home Decor,Lamps
O39,C5108,P157,2024-06-03,1470.61,471.85,6,Home Decor,Wall Art
O40,C3287,P809,2024-04-06,1045.05,269.29,9,Home Decor,Lamps
O41,C2377,P834,2023-06-21,1965.18,5.45,9,Electronics,Headphones
O42,C6580,P645,2022-07-25,152.56,49.56,10,Toys,Action Figures
O43,C5508,P676,2021-08-18,1148.1,492.19,5,Electronics,TVs
O44,C2648,P307,2022-08-15,1954.91,247.84,2,Clothing,Shirts
O45,C4978,P380,2023-02-18,1279.66,322.36,1,Electronics,Phones
O46,C3123,P771,2020-04-18,249.99,311.71,4,Home Decor,Clocks
O47,C7402,P799,2021-02-05,651.36,121.14,5,Toys,Action Figures
O48,C8894,P426,2022-07-08,1523.14,362.12,8,Toys,Board Games
O49,C1976,P912,2021-02-03,1130.39,244.51,8,Toys,Puzzles
O50,C4931,P831,2024-08-08,502.62,187.06,9,Furniture,Tables
O51,C5712,P280,2024-11-11,612.07,257.59,10,Home Decor,Curtains
O52,C3679,P539,2022-06-25,1910.97,401.05,2,Home Decor,Lamps
O53,C5593,P999,2021-07-29,1406.41,454.09,6,Home Decor,Lamps
O54,C1654,P463,2023-11-14,618.43,239.38,3,Clothing,Shoes
O55,C7867,P544,2021-05-15,1092.78,23.1,6,Clothing,Pants
O56,C6117,P342,2024-11-22,1016.57,228.29,9,Toys,Board Games
O57,C3969,P631,2020-09-26,1786.51,79.62,1,Office Supplies,Pens
O58,C3775,P100,2022-04-10,1236.28,234.07,10,Home Decor,Curtains
O59,C4525,P318,2020-11-17,751.63,163.98,3,Toys,Action Figures
O60,C9087,P450,2021-05-26,1702.76,219.39,9,Furniture,Sofas
O61,C1464,P812,2024-01-16,1830.96,142.31,10,Furniture,Sofas
O62,C4324,P820,2022-03-27,1441.72,136.14,2,Furniture,Sofas
O63,C7493,P108,2022-03-30,1659.79,415.15,4,Clothing,Pants
O64,C1471,P395,2023-11-16,1562.88,143.03,6,Furniture,Tables
O65,C8756,P480,2023-10-30,1237.03,423.15,9,Toys,Action Figures
O66,C8109,P546,2023-09-21,1388.11,304.48,9,Home Decor,Clocks
O67,C2649,P974,2020-05-26,1323.16,344.12,6,Toys,Dolls
O68,C4137,P586,2022-08-21,1948.04,139.72,5,Home Decor,Clocks
O69,C6555,P375,2021-09-13,759.99,448.46,6,Toys,Puzzles
O70,C3066,P741,2022-09-10,735.08,307.61,7,Clothing,Jackets
O71,C7373,P292,2021-01-23,733.82,279.7,3,Office Supplies,Printers
O72,C3737,P397,2021-10-29,451.72,482.8,10,Office Supplies,Notebooks
O73,C9645,P635,2023-05-31,1089.4,305.42,10,Electronics,Laptops
O74,C1856,P344,2021-12-03,948.1,202.25,9,Home Decor,Wall Art
O75,C5226,P541,2022-07-10,419.44,57.28,1,Toys,Board Games
O76,C7598,P911,2021-12-01,1706.37,193.69,10,Clothing,Jackets
O77,C5266,P882,2022-06-08,585.55,89.85,2,Furniture,Chairs
O78,C7792,P418,2021-09-27,452.03,146.36,3,Office Supplies,Pens
O79,C8736,P169,2023-09-01,194.72,4.63,7,Toys,Dolls
O80,C4248,P873,2022-01-12,1049.87,86.95,7,Electronics,Laptops
O81,C7565,P414,2020-04-22,1632.67,252.62,1,Furniture,Tables
O82,C7677,P569,2023-06-26,1188.47,476.77,10,Electronics,TVs
O83,C9929,P882,2024-03-21,1543.51,76.57,8,Office Supplies,Notebooks
O84,C5036,P957,2021-05-25,786.59,184.16,1,Home Decor,Curtains
O85,C6877,P987,2023-05-17,1013.54,360.73,8,Office Supplies,Staplers
O86,C9571,P308,2022-05-16,310.14,402.06,4,Electronics,Phones
O87,C7899,P824,2022-06-08,1703.65,148.7,1,Toys,Board Games
O88,C9795,P491,2023-05-15,1759.73,96.18,8,Home Decor,Clocks
O89,C7620,P934,2024-09-03,599.58,300.27,2,Office Supplies,Printers
O90,C1790,P707,2024-10-26,643.71,29.84,8,Office Supplies,Staplers
O91,C4132,P585,2023-11-09,180.84,40.83,4,Toys,Puzzles
O92,C4315,P388,2021-07-01,809.34,140.67,2,Toys,Dolls
O93,C8936,P998,2023-07-25,1940.53,359.75,3,Clothing,Shirts
O94,C6436,P665,2021-04-30,1833.39,111.25,8,Home Decor,Lamps
O95,C6043,P789,2024-04-23,1081.12,68.76,4,Office Supplies,Printers
O96,C1951,P523,2021-11-07,1649.99,68.16,2,Furniture,Cabinets
O97,C6018,P544,2023-05-09,955.41,26.96,9,Electronics,Phones
O98,C5316,P544,2020-02-06,88.15,123.37,7,Electronics,Phones
O99,C2486,P299,2023-09-05,430.56,349.54,10,Clothing,Pants
O100,C4886,P880,2024-11-11,1655.22,13.66,6,Office Supplies,Staplers
O101,C2313,P825,2024-09-28,355.11,203.27,1,Home Decor,Clocks
O102,C9276,P738,2022-07-03,780.26,158.27,3,Toys,Action Figures
O103,C5493,P426,2020-03-22,1477.66,105.04,6,Home Decor,Curtains
O104,C1142,P313,2021-11-25,1967.07,496.09,7,Furniture,Cabinets
O105,C5717,P222,2024-08-02,1874.54,71.43,3,Toys,Dolls
O106,C7064,P960,2023-01-17,1577.94,349.52,3,Home Decor,Lamps
O107,C9031,P399,2023-10-13,1159.11,485.49,6,Office Supplies,Notebooks
O108,C1382,P117,2023-11-20,1974.45,138.19,10,Furniture,Tables
O109,C1261,P525,2021-03-25,1672.64,96.79,10,Electronics,TVs
O110,C4952,P675,2023-12-16,1623.05,316.27,7,Clothing,Shoes
O111,C7891,P622,2020-01-25,493.71,36.39,9,Furniture,Tables
O112,C3444,P680,2020-04-07,813.75,231.53,10,Toys,Action Figures
O113,C7639,P734,2023-02-08,1366.46,403.59,6,Home Decor,Clocks
O114,C7720,P764,2023-10-22,372.97,419.59,5,Toys,Board Games
O115,C9807,P362,2021-11-24,549.09,346.58,7,Home Decor,Lamps
O116,C7420,P410,2021-05-04,465.82,494.74,1,Electronics,Headphones
O117,C1547,P966,2020-02-02,458.27,80.75,10,Clothing,Pants
O118,C4374,P683,2020-10-30,438.04,351.17,2,Electronics,Phones
O119,C7828,P316,2024-11-15,1528.89,159.62,6,Office Supplies,Printers
O120,C6743,P600,2020-07-17,640.54,291.54,5,Furniture,Chairs
O121,C7478,P585,2023-07-22,75.11,234.18,10,Electronics,Phones
O122,C1004,P177,2024-05-11,956.29,270.79,7,Electronics,TVs
O123,C6402,P330,2024-01-27,585.64,113.91,6,Electronics,TVs
O124,C9459,P553,2024-12-10,285.42,9.2,8,Home Decor,Lamps
O125,C6417,P333,2020-12-31,1565.71,15.73,10,Office Supplies,Printers
O126,C1265,P781,2022-05-11,1240.31,169.6,5,Home Decor,Wall Art
O127,C7870,P648,2020-08-11,556.61,461.92,10,Home Decor,Clocks
O128,C7772,P144,2020-08-09,1527.12,401.73,10,Electronics,Phones
O129,C1813,P967,2022-12-13,57.4,244.03,10,Home Decor,Wall Art
O130,C7287,P758,2024-05-17,1536.76,420.38,3,Toys,Puzzles
O131,C8149,P228,2021-04-24,1157.29,71.5,3,Electronics,Phones
O132,C1708,P651,2021-01-08,1642.12,341.05,6,Home Decor,Curtains
O133,C2119,P265,2022-06-20,1481.57,36.22,1,Toys,Puzzles
O134,C1849,P728,2020-04-03,969.35,221.3,5,Toys,Dolls
O135,C2779,P737,2022-07-06,751.22,354.27,1,Toys,Board Games
O136,C6639,P724,2020-05-30,1850.22,46.9,1,Furniture,Tables
O137,C5566,P558,2020-08-27,168.75,342.98,10,Furniture,Cabinets
O138,C8547,P985,2022-07-05,1143.55,477.07,6,Electronics,Headphones
O139,C8053,P854,2022-01-16,1834.25,83.88,2,Office Supplies,Staplers
O140,C9851,P402,2020-07-28,1874.64,194.34,4,Furniture,Tables
O141,C3188,P421,2020-10-19,307.81,181.39,1,Furniture,Tables
O142,C2837,P151,2021-06-05,1389.78,389.38,4,Electronics,Phones
O143,C3077,P480,2023-07-17,171.6,125.94,8,Furniture,Tables
O144,C2284,P318,2020-11-15,1268.75,4.57,9,Clothing,Shirts
O145,C9054,P446,2023-10-23,322.62,361.18,4,Home Decor,Wall Art
O146,C3421,P707,2022-04-04,1567.53,134.97,4,Home Decor,Curtains
O147,C4450,P573,2023-02-23,433.53,415.59,2,Office Supplies,Notebooks
O148,C9709,P965,2022-03-03,430.49,278.15,7,Furniture,Cabinets
O149,C9521,P980,2022-09-16,438.56,333.75,5,Toys,Board Games
O150,C2024,P244,2023-06-29,499.22,40.61,2,Office Supplies,Pens
O151,C1123,P467,2023-04-28,50.28,116.69,6,Electronics,Phones
O152,C8784,P353,2023-09-23,1927.62,365.36,1,Electronics,Headphones
O153,C7560,P150,2021-08-17,1457.03,173.35,6,Home Decor,Curtains
O154,C6579,P791,2020-01-15,1484.65,414.64,5,Office Supplies,Pens
O155,C2793,P963,2020-11-11,25.05,313.87,10,Clothing,Shoes
O156,C6165,P167,2024-12-01,705.95,319.03,6,Electronics,Phones
O157,C9796,P257,2022-01-18,1265.5,270.6,7,Office Supplies,Printers
O158,C1962,P711,2023-01-07,799.87,101.43,3,Electronics,Laptops
O159,C3751,P912,2022-09-05,1354.22,323.12,4,Furniture,Chairs
O160,C9420,P876,2022-12-17,1897.06,484.54,2,Clothing,Jackets
O161,C7285,P519,2021-05-25,1049.13,435.9,8,Toys,Action Figures
O162,C6974,P729,2020-11-04,1364.41,192.56,2,Office Supplies,Notebooks
O163,C2409,P267,2022-03-09,855.07,439.35,5,Electronics,Laptops
O164,C3497,P688,2021-11-04,1374.29,264.91,3,Furniture,Tables
O165,C5811,P387,2024-06-17,423.39,5.65,4,Furniture,Sofas
O166,C6180,P715,2022-04-21,946.83,80.64,4,Electronics,Headphones
O167,C3757,P260,2020-03-10,1913.51,255.02,7,Furniture,Cabinets
O168,C4761,P172,2022-04-08,1766.68,279.45,8,Clothing,Jackets
O169,C6547,P494,2024-02-27,124.38,16.9,3,Furniture,Tables
O170,C6117,P733,2024-09-03,588.74,389.56,7,Electronics,Laptops
O171,C6525,P428,2022-04-27,252.81,111.1,10,Clothing,Pants
O172,C5568,P473,2021-12-19,1291.71,476.84,6,Office Supplies,Printers
O173,C4527,P211,2023-08-11,1456.24,331.27,4,Home Decor,Curtains
O174,C7129,P423,2022-01-05,1925.0,257.24,8,Clothing,Shirts
O175,C4515,P796,2023-09-08,29.53,201.3,2,Home Decor,Lamps
O176,C7661,P792,2024-12-16,711.03,489.3,2,Electronics,Phones
O177,C2511,P321,2024-08-18,1453.71,53.94,9,Clothing,Shirts
O178,C8093,P611,2021-11-09,1637.36,269.22,1,Office Supplies,Printers
O179,C2716,P352,2024-12-02,1229.75,6.61,3,Home Decor,Clocks
O180,C2741,P235,2021-07-07,1545.72,238.56,6,Office Supplies,Staplers
O181,C8380,P788,2024-05-03,322.83,283.6,6,Electronics,Headphones
O182,C2009,P229,2020-10-05,156.21,123.17,2,Office Supplies,Pens
O183,C3328,P162,2021-02-05,896.51,351.4,1,Furniture,Tables
O184,C6560,P749,2022-10-11,1830.12,48.98,4,Clothing,Shoes
O185,C2094,P348,2023-10-28,1799.0,34.15,7,Electronics,Laptops
O186,C2775,P531,2023-04-18,1677.23,344.46,6,Electronics,TVs
O187,C4009,P600,2024-05-24,917.07,132.77,8,Office Supplies,Notebooks
O188,C4694,P130,2023-04-12,829.28,139.21,1,Office Supplies,Printers
O189,C2957,P490,2022-04-22,1206.46,43.86,1,Toys,Puzzles
O190,C2950,P516,2021-08-02,1793.3,237.86,9,Toys,Puzzles
O191,C2293,P272,2022-03-01,1408.05,446.23,3,Office Supplies,Pens
O192,C8988,P855,2023-04-10,847.83,34.9,2,Electronics,Laptops
O193,C6767,P531,2023-01-24,1599.4,271.66,1,Home Decor,Lamps
O194,C6937,P798,2020-11-15,481.87,166.21,3,Home Decor,Clocks
O195,C5869,P332,2024-01-14,1550.28,350.25,9,Electronics,Phones
O196,C2037,P507,2021-07-27,1721.58,114.36,3,Furniture,Chairs
O197,C9799,P574,2021-12-18,1117.08,496.74,4,Clothing,Pants
O198,C7447,P151,2023-10-16,318.55,487.35,4,Furniture,Chairs
O199,C2817,P392,2023-10-16,1991.18,285.42,8,Home Decor,Clocks
O200,C7644,P282,2023-05-29,1445.67,475.81,7,Toys,Action Figures
O201,C4116,P642,2022-06-07,594.45,253.51,8,Office Supplies,Notebooks
O202,C9169,P694,2023-05-04,1409.5,87.24,6,Clothing,Shoes
O203,C1299,P241,2021-07-27,1002.44,177.58,2,Toys,Dolls
O204,C9835,P554,2022-01-02,1193.45,271.45,1,Home Decor,Lamps
O205,C3422,P159,2024-11-26,1414.46,176.29,5,Home Decor,Wall Art
O206,C1187,P873,2022-12-08,682.65,376.87,2,Toys,Puzzles
O207,C2458,P380,2020-02-26,1935.42,418.06,9,Home Decor,Wall Art
O208,C1012,P989,2023-02-24,880.17,40.17,6,Clothing,Jackets
O209,C6684,P632,2023-01-16,1262.54,428.86,3,Furniture,Cabinets
O210,C6114,P664,2023-11-04,870.26,69.48,4,Clothing,Shirts
O211,C1435,P712,2023-03-29,974.36,246.38,6,Home Decor,Lamps
O212,C1907,P882,2021-09-27,987.41,397.12,1,Home Decor,Lamps
O213,C7414,P884,2020-11-27,1229.61,189.35,2,Toys,Action Figures
O214,C8830,P918,2020-03-16,1217.27,44.77,8,Electronics,Headphones
O215,C2163,P511,2021-10-30,31.93,247.6,10,Clothing,Shirts
O216,C1636,P773,2023-08-02,894.1,96.35,4,Clothing,Pants
O217,C9384,P839,2020-02-08,921.65,56.15,3,Electronics,Phones
O218,C6012,P202,2021-02-01,1058.7,333.4,10,Office Supplies,Printers
O219,C7217,P815,2020-10-05,430.5,40.4,6,Furniture,Cabinets
O220,C9114,P651,2023-08-28,877.1,367.87,6,Furniture,Sofas
O221,C2800,P311,2021-06-17,496.59,224.21,8,Electronics,Phones
O222,C3206,P916,2020-01-11,1890.18,243.49,6,Electronics,Phones
O223,C7154,P247,2021-07-27,1932.56,23.8,1,Electronics,Headphones
O224,C5715,P910,2022-09-20,1111.28,131.66,1,Furniture,Chairs
O225,C8830,P262,2023-03-05,488.39,119.55,2,Electronics,Laptops
O226,C4257,P860,2024-08-10,108.31,53.7,10,Clothing,Pants
O227,C3604,P338,2022-10-25,637.94,467.9,4,Electronics,Laptops
O228,C7984,P123,2021-10-19,1367.52,109.86,6,Toys,Action Figures
O229,C6545,P197,2023-08-28,1531.23,408.81,10,Home Decor,Wall Art
O230,C7437,P289,2021-04-23,1752.76,339.17,9,Electronics,Phones
O231,C6307,P620,2021-12-30,741.81,307.72,2,Home Decor,Clocks
O232,C3774,P364,2023-02-04,996.0,232.22,6,Electronics,Headphones
O233,C8091,P980,2023-06-05,620.72,211.53,9,Electronics,Laptops
O234,C5452,P936,2021-04-06,1682.27,248.03,3,Home Decor,Curtains
O235,C2954,P180,2020-08-13,1555.55,420.99,7,Home Decor,Lamps
O236,C6413,P128,2024-04-22,1185.71,357.04,8,Office Supplies,Notebooks
O237,C4886,P727,2024-07-23,1982.31,268.34,3,Toys,Dolls
O238,C9952,P510,2022-05-09,1367.41,135.19,6,Office Supplies,Printers
O239,C3181,P547,2021-10-30,1394.73,415.7,7,Furniture,Cabinets
O240,C2746,P796,2020-04-06,57.23,483.87,3,Clothing,Jackets
O241,C2232,P898,2024-03-19,1016.08,14.88,3,Home Decor,Wall Art
O242,C2738,P603,2021-07-05,1031.7,71.08,4,Furniture,Chairs
O243,C6932,P175,2020-06-04,915.37,148.14,4,Clothing,Pants
O244,C4656,P342,2021-08-29,1601.84,350.15,10,Toys,Action Figures
O245,C7922,P596,2020-09-02,317.44,286.73,9,Furniture,Chairs
O246,C9899,P689,2022-01-29,1878.12,170.58,5,Clothing,Pants
O247,C3133,P905,2022-06-27,1757.58,109.15,5,Office Supplies,Printers
O248,C8207,P299,2022-10-13,637.53,332.05,5,Electronics,Laptops
O249,C5585,P809,2022-05-20,1078.5,396.27,10,Office Supplies,Notebooks
O250,C9024,P824,2020-05-19,1774.84,60.7,2,Furniture,Cabinets
O251,C4467,P382,2021-09-03,478.62,379.9,4,Home Decor,Lamps
O252,C2453,P357,2022-03-16,70.82,58.92,8,Furniture,Cabinets
O253,C9488,P857,2021-11-03,1544.17,370.24,5,Toys,Board Games
O254,C9117,P334,2024-12-30,1472.14,126.35,2,Office Supplies,Staplers
O255,C1203,P492,2020-05-13,1004.77,94.02,7,Toys,Action Figures
O256,C4113,P894,2023-12-03,86.81,366.95,3,Home Decor,Wall Art
O257,C8247,P601,2020-12-24,640.55,105.99,4,Toys,Puzzles
O258,C9262,P678,2022-05-17,1294.47,399.21,9,Office Supplies,Notebooks
O259,C7517,P452,2020-08-14,1817.97,52.44,4,Toys,Board Games
O260,C1755,P671,2020-03-14,611.36,324.57,10,Furniture,Cabinets
O261,C6351,P549,2023-06-30,292.09,86.07,6,Office Supplies,Notebooks
O262,C6937,P703,2022-08-19,1881.47,437.74,10,Furniture,Cabinets
O263,C6426,P278,2021-04-19,254.71,221.75,5,Home Decor,Wall Art
O264,C4421,P690,2024-12-16,847.56,270.21,9,Office Supplies,Staplers
O265,C4604,P488,2022-01-08,968.09,343.51,5,Electronics,Phones
O266,C3490,P830,2024-02-10,979.33,371.11,5,Toys,Dolls
O267,C4923,P477,2022-09-08,1702.6,207.87,3,Clothing,Jackets
O268,C3883,P647,2022-03-08,496.9,311.6,6,Electronics,Headphones
O269,C9484,P968,2024-09-18,535.83,319.37,7,Furniture,Cabinets
O270,C8291,P375,2023-04-11,728.32,99.12,4,Furniture,Sofas
O271,C7957,P398,2021-06-24,375.85,224.13,7,Furniture,Chairs
O272,C2103,P436,2024-01-08,1600.86,350.52,6,Toys,Action Figures
O273,C9416,P394,2021-09-01,746.76,289.5,10,Toys,Dolls
O274,C2584,P938,2021-08-09,1521.69,438.36,4,Home Decor,Curtains
O275,C5849,P468,2022-05-29,545.75,199.21,5,Electronics,TVs
O276,C6647,P411,2022-12-22,1086.15,278.61,3,Furniture,Tables
O277,C8769,P143,2024-03-20,1048.58,304.46,7,Electronics,Laptops
O278,C2938,P450,2023-09-20,717.34,30.8,2,Furniture,Chairs
O279,C3279,P638,2022-12-23,1616.64,177.76,8,Toys,Board Games
O280,C4837,P146,2023-08-26,916.25,287.59,4,Toys,Dolls
O281,C3771,P505,2022-12-19,375.64,199.02,2,Clothing,Pants
O282,C4686,P498,2020-01-10,1755.55,121.63,10,Electronics,Headphones
O283,C9093,P145,2020-01-14,1647.76,70.24,1,Toys,Board Games
O284,C4499,P871,2021-02-04,1170.1,413.47,7,Toys,Action Figures
O285,C5586,P976,2021-06-19,1526.5,97.04,2,Furniture,Sofas
O286,C6433,P278,2022-08-04,1742.69,486.8,3,Home Decor,Lamps
O287,C5331,P181,2020-09-03,194.22,217.09,6,Toys,Action Figures
O288,C4835,P150,2024-05-25,1051.16,172.31,7,Office Supplies,Notebooks
O289,C2473,P425,2020-08-06,1002.17,435.69,8,Toys,Board Games
O290,C2286,P509,2022-12-27,230.89,202.87,2,Toys,Board Games
O291,C3063,P562,2020-03-28,1157.92,189.77,3,Home Decor,Curtains
O292,C4761,P984,2020-04-28,1016.47,145.64,9,Furniture,Chairs
O293,C4353,P475,2024-06-03,1906.3,369.66,10,Office Supplies,Notebooks
O294,C8871,P184,2023-01-06,607.93,137.95,4,Home Decor,Wall Art
O295,C4660,P878,2022-03-06,425.11,234.29,6,Electronics,Headphones
O296,C6408,P992,2024-12-31,377.99,434.02,6,Home Decor,Curtains
O297,C4930,P138,2020-03-06,1817.55,373.16,6,Furniture,Sofas
O298,C2589,P703,2020-09-29,511.48,225.95,9,Office Supplies,Notebooks
O299,C5415,P357,2022-10-30,1553.75,420.57,3,Toys,Puzzles
O300,C4067,P426,2023-06-10,15.28,189.05,4,Home Decor,Curtains
O301,C8759,P669,2023-08-12,1505.27,461.97,3,Toys,Dolls
O302,C3310,P294,2024-09-21,1743.31,3.15,2,Toys,Action Figures
O303,C3929,P852,2024-12-24,369.24,92.39,7,Home Decor,Curtains
O304,C6667,P226,2024-02-12,1248.22,69.99,8,Furniture,Cabinets
O305,C4632,P651,2021-03-16,1845.74,69.35,1,Toys,Puzzles
O306,C8655,P125,2024-03-14,1132.34,263.74,8,Home Decor,Curtains
O307,C5150,P319,2022-07-25,122.0,221.23,3,Home Decor,Lamps
O308,C4616,P636,2020-04-21,617.61,339.22,9,Office Supplies,Printers
O309,C7199,P613,2020-03-07,1540.81,144.65,2,Home Decor,Curtains
O310,C9892,P593,2024-11-11,855.27,153.72,8,Toys,Board Games
O311,C3747,P236,2020-05-27,462.87,103.04,8,Clothing,Shirts
O312,C6941,P587,2022-05-30,1089.5,78.48,4,Clothing,Shoes
O313,C2523,P324,2022-04-05,1584.44,289.35,10,Electronics,Headphones
O314,C2605,P891,2020-06-15,1645.57,76.38,5,Clothing,Jackets
O315,C5068,P387,2020-11-15,1768.56,197.72,3,Toys,Puzzles
O316,C5273,P786,2021-03-06,1606.51,487.4,6,Furniture,Tables
O317,C2455,P925,2023-06-19,1948.63,430.45,7,Office Supplies,Printers
O318,C7890,P623,2020-09-23,253.04,240.17,4,Home Decor,Clocks
O319,C3668,P724,2024-11-26,1054.98,24.66,6,Clothing,Shoes
O320,C8016,P727,2020-10-06,146.38,164.93,1,Home Decor,Curtains
O321,C6141,P670,2023-12-10,1719.28,194.7,9,Furniture,Tables
O322,C9926,P692,2023-07-04,220.3,361.34,1,Toys,Action Figures
O323,C4360,P563,2022-02-13,555.15,197.67,3,Office Supplies,Printers
O324,C7697,P176,2021-12-12,1069.97,481.39,3,Electronics,Laptops
O325,C8463,P513,2024-09-17,807.75,357.8,1,Furniture,Chairs
O326,C1677,P585,2021-05-01,853.78,251.54,10,Clothing,Shoes
O327,C8784,P233,2023-09-27,1384.66,20.97,4,Furniture,Chairs
O328,C4719,P716,2023-08-20,1008.0,191.27,7,Toys,Puzzles
O329,C3195,P669,2021-01-18,831.23,321.25,6,Clothing,Jackets
O330,C4423,P197,2023-12-29,1603.69,316.47,4,Office Supplies,Printers
O331,C5149,P652,2022-12-17,884.93,408.21,2,Home Decor,Curtains
O332,C4363,P515,2021-05-22,68.04,102.26,10,Furniture,Chairs
O333,C5038,P261,2024-03-17,1254.29,262.03,7,Furniture,Chairs
O334,C5655,P263,2021-07-01,168.98,486.88,7,Toys,Board Games
O335,C8062,P353,2022-07-02,1737.9,50.7,2,Furniture,Chairs
O336,C8385,P248,2021-10-13,579.22,49.39,7,Clothing,Shirts
O337,C5527,P531,2023-03-15,151.94,323.21,9,Clothing,Pants
O338,C9184,P668,2024-08-01,1984.11,441.11,5,Home Decor,Wall Art
O339,C7507,P925,2022-10-10,941.06,174.46,1,Furniture,Tables
O340,C4185,P377,2023-01-31,730.29,245.46,2,Electronics,Laptops
O341,C5315,P961,2024-04-04,179.45,393.07,9,Toys,Puzzles
O342,C4646,P194,2022-10-26,1196.4,351.85,7,Office Supplies,Printers
O343,C4201,P446,2022-01-16,863.07,355.44,4,Office Supplies,Pens
O344,C2384,P307,2024-12-08,982.07,377.6,1,Toys,Action Figures
O345,C9818,P636,2023-11-13,1900.26,10.55,1,Clothing,Jackets
O346,C4185,P858,2020-04-07,1405.55,401.11,4,Clothing,Jackets
O347,C3714,P402,2021-08-11,1105.4,206.32,10,Office Supplies,Pens
O348,C2731,P527,2022-06-04,1102.8,231.04,7,Clothing,Shoes
O349,C1921,P777,2023-01-27,507.09,222.29,7,Home Decor,Wall Art
O350,C1710,P976,2023-07-24,1197.39,222.72,2,Office Supplies,Pens
O351,C2665,P753,2023-03-10,1672.24,400.38,5,Toys,Puzzles
O352,C8324,P476,2024-08-09,375.31,27.63,1,Clothing,Jackets
O353,C4750,P374,2023-08-31,211.2,178.23,5,Office Supplies,Printers
O354,C4589,P693,2024-03-22,1866.54,258.56,8,Clothing,Jackets
O355,C3646,P838,2021-08-11,1298.33,261.84,2,Home Decor,Curtains
O356,C9891,P995,2021-07-23,716.58,449.14,6,Office Supplies,Printers
O357,C7210,P879,2024-06-08,256.37,407.07,3,Home Decor,Lamps
O358,C9823,P452,2024-07-02,1912.75,2.29,10,Toys,Board Games
O359,C1644,P253,2020-12-27,1547.21,233.84,7,Home Decor,Clocks
O360,C3784,P368,2024-03-20,1127.23,373.19,7,Home Decor,Wall Art
O361,C4488,P292,2021-09-14,1678.94,158.54,7,Toys,Action Figures
O362,C7844,P349,2020-03-09,1245.74,289.67,5,Home Decor,Wall Art
O363,C2095,P469,2023-06-04,1304.38,408.34,8,Office Supplies,Pens
O364,C6052,P386,2024-03-04,1251.58,489.53,1,Clothing,Pants
O365,C6550,P352,2022-10-21,331.2,316.79,10,Furniture,Tables
O366,C9977,P795,2021-09-01,1040.61,22.53,4,Toys,Board Games
O367,C6898,P741,2024-11-04,758.15,490.12,2,Electronics,Laptops
O368,C9413,P244,2022-06-22,1914.54,220.5,9,Office Supplies,Printers
